,nom_directors,ID_directors,STARmeter_directors,recompenses_directors,carriere_duree_directors,films_series_directors
193,ClaudeMiller,nm0002218,84551.0,4.0,47.0,31.0
194,JohnCarrollLynch,nm0002253,3878.0,0.0,28.0,90.0
195,AllenCoulter,nm0002339,32831.0,0.0,22.0,26.0
196,ClausDrexel,nm0002611,500074.0,1.0,15.0,6.0
197,PaoloGenovese,nm0002645,33480.0,0.0,13.0,12.0
198,JoeJohnston,nm0002653,8290.0,0.0,43.0,15.0
199,GaryRoss,nm0002657,16100.0,0.0,36.0,11.0
200,MalcolmD.Lee,nm0002700,28117.0,0.0,22.0,24.0
201,JuanJoseCampanella,nm0002728,25065.0,5.0,33.0,25.0
202,DanielGeller,nm0002739,392523.0,0.0,8.0,3.0
203,PierreCourrege,nm0002870,1893160.0,0.0,41.0,3.0
204,WallyPfister,nm0002892,15551.0,1.0,29.0,3.0
205,ChrisMcKay,nm0003021,17109.0,0.0,24.0,9.0
206,IsabelleBroue,nm0003029,582552.0,0.0,23.0,5.0
207,ChrisNoonan,nm0003088,59995.0,0.0,0.0,2.0
208,SeanMcGinly,nm0003152,121546.0,0.0,20.0,4.0
209,ChristopherMcQuarrie,nm0003160,4895.0,2.0,28.0,15.0
210,RobSchmidt,nm0003343,73309.0,0.0,9.0,7.0
211,RobCohen,nm0003418,16155.0,0.0,44.0,26.0
212,TroyMiller,nm0003474,50407.0,0.0,28.0,24.0
213,NashEdgerton,nm0003482,14809.0,1.0,23.0,21.0
214,JamesMangold,nm0003506,4133.0,0.0,35.0,31.0
215,MichelBlanc,nm0003508,40139.0,5.0,47.0,85.0
216,DouglasLaw,nm0003532,2002536.0,0.0,7.0,2.0
217,RichardJ.Lewis,nm0003557,56264.0,0.0,26.0,17.0
218,PhilippedeBroca,nm0003606,74978.0,0.0,46.0,44.0
219,FlorianHenckelvonDonnersmarck,nm0003697,19961.0,7.0,13.0,6.0
220,AnthonyFabian,nm0003745,73612.0,0.0,0.0,3.0
221,TravisFine,nm0003910,19939.0,0.0,27.0,15.0
222,PhilippeMuyl,nm0003974,314544.0,0.0,36.0,11.0
