director,director_id
Izu Ojukwu,nm2339266
Tsuneo Kobayashi,nm0462076
Dan Mazer,nm0563243
Brett Ratner,nm0711840
Lokesh Kanagaraj,nm7992231
Harold Cronk,nm1880561
Siu-Hung Chung,nm0156566
Noam Murro,nm1729171
Jun'ichi Satô,nm0766218
Ettore D'Alessandro,nm1832808
Sebastián De Caro,nm0207775
Tanya Wexler,nm0923330
Alexandre Avancini,nm0042768
Alfred Hitchcock,nm0000033
Lasse Hallström,nm0002120
Mark Steven Johnson,nm0425756
Matthew Reilly,nm2318689
Neil Burger,nm1139726
Magnus Martens,nm0994368
Julien Fournet,nm5754818
Keith Thomas,nm8928699
Stanley Tong,nm0867262
Hyun-Sung Moon,nm4975337
Garry Marshall,nm0005190
Peter Sohn,nm0812307
Alex Zamm,nm0005618
Chava Cartas,nm1180915
Stanley Kubrick,nm0000040
Yoshihiro Ueda,nm0973920
Robert Rodriguez,nm0001675
Virginie Despentes,nm0221591
Steven Quale,nm0702797
Martin Bourboulon,nm1113528
Matt Duffer,nm1819972
Won-Tae Lee,nm8694244
Gabriele Muccino,nm0610831
Gaspar Noé,nm0637615
Edgar Wright,nm0942367
Stephen Hillenburg,nm0384864
Ernie Barbarash,nm0053228
Sarah Smith,nm0809877
Martin Brest,nm0000976
Will Gluck,nm0323239
Michael Patrick King,nm0455078
Andrew Traucki,nm0871188
Benjamin Mousquet,nm2588135
Bryan Singer,nm0001741
Kei'ichi Sato,nm0766226
Mamoru Hosoda,nm0396074
Brian Helgeland,nm0001338
Stephen Herek,nm0378893
Ángeles Reiné,nm3345058
Theodore Ty,nm1639292
Jeff Wadlow,nm0905592
Régis Blondeau,nm0089033
Dan Gilroy,nm0319659
Gustavo Loza,nm0523509
Masayuki Akehi,nm0015168
Mark Jones,nm0428751
Joe Wright,nm0942504
Tommy O'Haver,nm0641373
John Lee Hancock,nm0359387
Tom Tykwer,nm0878756
Alister Grierson,nm0340958
Sylvain White,nm1234893
David O. Russell,nm0751102
Lee Hae-jun,nm1409622
Bo Welch,nm0919514
Elaine Bogan,nm4136807
Dean Israelite,nm2410311
Måns Mårlind,nm0617523
Harald Zwart,nm0958969
Casey La Scala,nm0489453
Tarik Saleh,nm0757975
Nora Twomey,nm1316072
Jorge R. Gutiérrez,nm1509613
Dominic Sena,nm0784061
Edward Drake,nm4864836
Brett Bentman,nm5472963
Stefano Sollima,nm1356588
Takana Shirai,nm6213247
Jonathan Mostow,nm0609236
Joe Johnston,nm0002653
Patricia Riggen,nm0726638
Sung-ho Hong,nm1406845
Peter Ramsey,nm0709056
Adam Mason,nm0556573
Kevin Smith,nm0003620
Kang Hoon,nm8588869
Asif Akbar,nm2973729
Nicolas Winding Refn,nm0716347
Eamonn Butler,nm0124900
Samuel Armstrong,nm0035899
Alex Garland,nm0307497
Peter Chelsom,nm0155093
Ted Kotcheff,nm0467646
Daina Reid,nm0717225
Shane Black,nm0000948
Gary Fleder,nm0001219
Rob Cohen,nm0003418
Daniela Fejerman,nm0270822
Severin Fiala,nm3868633
Richard Donner,nm0001149
Vincenzo Natali,nm0622112
Jayro Bustamante,nm3563342
Adam McKay,nm0570912
Albert Hughes,nm0400436
Victor Fleming,nm0281808
Ali Samadi Ahadi,nm1893665
Burr Steers,nm0824882
Mark A.Z. Dippé,nm0228147
Chris Carr,nm1777600
Aleksander Bach,nm5507490
Katie Aselton,nm1051221
Scott Waugh,nm0915304
Graham Moore,nm2441699
Paul Hoen,nm0388505
Duncan Jones,nm1512910
Don Mancini,nm0238841
John Sturges,nm0836328
Kôtarô Tamura,nm3096701
Baz Luhrmann,nm0525303
Kat Coiro,nm0192478
Gareth Edwards,nm2284484
Julia Ducournau,nm4469445
Seth Gordon,nm1164861
Roberto Mauri,nm0561089
Reinaldo Marcus Green,nm3232264
Jon S. Baird,nm1580671
Renaud Gauthier,nm5504892
Yimou Zhang,nm0955443
Sean McNamara,nm0573732
Ben Affleck,nm0000255
Gerard McMurray,nm2618764
Jee-woon Kim,nm0453518
Michael Apted,nm0000776
Ethan Spaulding,nm2320725
Bibo Bergeron,nm0074426
Arie Posin,nm1242062
Richard Curtis,nm0193485
Andy Suriano,nm1635570
Aman Chang,nm0151630
Josh Trank,nm2503633
Stephen Chow,nm0159507
Doug Liman,nm0510731
Tim Johnson,nm0426333
Andrew Hyatt,nm1358366
Sergio Leone,nm0001466
Ethan Coen,nm0001053
Danny Boyle,nm0000965
Luke Armstrong,nm4274789
Gail Lerner,nm0503611
Peter Lord,nm0520485
Brad Grimm,nm3487158
Giuseppe Tornatore,nm0868153
Damien Chazelle,nm3227090
J.J. Perry,nm0675102
Jonathan Hensleigh,nm0378144
Geoffrey Sax,nm0768249
Yoshifumi Kondô,nm0464911
Mike Gabriel,nm0300265
Mark A.C. Brown,nm3771438
Vini Videla,nm9698697
Alexandre Bustillo,nm2376614
Kevin Lewis,nm0507425
Christian Gudegast,nm0345615
Joe Dressel,nm2785069
Alexandre Aja,nm0014960
Blake Harris,nm4671079
Jordan Graham,nm3202804
Kevin Lima,nm0510674
Monika Mitchell,nm0593618
David M. Rosenthal,nm1270033
Steven R. Monroe,nm0003458
Will Finn,nm0278181
Terence Young,nm0950109
Evan Goldberg,nm1698571
Masaki Tachibana,nm2342722
Jeymes Samuel,nm5029795
Eric Leighton,nm0500343
Shin'ichirô Ushijima,nm9026707
Satoshi Kuwabara,nm0476663
David Cronenberg,nm0000343
Hirokazu Koreeda,nm0466153
Min-Sang An,nm9270750
Shana Feste,nm0275277
Michael Gottlieb,nm0331998
Norman Ferguson,nm0272568
Alex Proyas,nm0001639
Omiros Efstratiadis,nm0250625
Harry Cripps,nm0187912
Pascal Arnold,nm0036331
Donovan Marsh,nm1804518
Zoe Lister-Jones,nm1830380
Boris Quercia,nm0703253
Dale Resteghini,nm0720411
Gigi Gaston,nm0309456
Carlos López Estrada,nm2788015
Ken Kwapis,nm0477129
Ang Lee,nm0000487
Rohit Shetty,nm1460159
Scott Frank,nm0291082
David Twohy,nm0878638
Norio Tsuruta,nm0875468
John R. Leonetti,nm0502954
James Bobin,nm0090386
Kevin Munroe,nm1083489
Yarrow Cheney,nm0155528
Tinto Brass,nm0000972
Michael Ballif,nm5257743
Mamoru Watanabe,nm0913835
Aakash Bhatia,nm7202086
Mel Stuart,nm0835799
Paul Tibbitt,nm1196684
Nick Lyon,nm0528963
Hanna Bergholm,nm1028093
Thomas Carter,nm0141961
Malgorzata Szumowska,nm0844333
Kirk Harris,nm0364963
Daniel Myrick,nm0617130
Mandla Dube,nm0239228
Maria Schrader,nm0775056
Tobias Lindholm,nm2105585
Masashi Ando,nm0027943
Wisit Sasanatieng,nm0765685
Marco Mak,nm0156906
Don Bluth,nm0089940
Banjong Pisanthanakun,nm1802294
Tatsuma Minamikawa,nm5895463
Adam Robitel,nm0733263
Kenny Ortega,nm0650905
Camille Delamarre,nm0216214
Il Cho,nm4252203
Taylor Hackford,nm0000431
Brenda Chapman,nm0152312
Josh Lawson,nm0493257
Lucky Kuswandi,nm2435022
Randal Kleiser,nm0459170
Rod Daniel,nm0199722
Lee Tamahori,nm0848414
Boaz Yakin,nm0945026
Brian Andrew Mendoza,nm1892926
Phyllis Nagy,nm0619507
Jeffrey Hidalgo,nm1367142
Peter Farrelly,nm0268380
Adam Berg,nm3515833
Janeen Damian,nm0078943
Brad Silberling,nm0797869
Christian Molina,nm0596668
Eli Roth,nm0744834
Cody Cameron,nm0970606
Jon M. Chu,nm0160840
Taichi Ishidate,nm2518118
Liam O'Donnell,nm2880943
Simon West,nm0922346
Marcus Nispel,nm1197971
Olivia Newman,nm3229507
Stephen Durham,nm2532541
Breck Eisner,nm0252135
Sam Miller,nm0589284
Takashi Miike,nm0586281
Alain Desrochers,nm0221662
Henk Pretorius,nm3067348
Rodrigo Sorogoyen,nm2507695
Kôzô Morishita,nm0605672
David Gidali,nm3050537
Tom Shadyac,nm0001723
Masahiko Murata,nm1496044
David Charhon,nm1925637
Juan José Campanella,nm0002728
Nicolai Fuglsig,nm3350420
Andy Fickman,nm0275698
Hideaki Anno,nm0030417
Li Xi Jie,nm13748062
Travis Knight,nm1325899
Eric Cabello,nm1899071
Stephen Norrington,nm0635759
Ivan Reitman,nm0718645
Roman Perez Jr.,nm4078209
Tom Holland,nm0276169
K. Asher Levin,nm0505642
Alain Chabat,nm0149260
Joe Carnahan,nm0138620
Bethany Ashton Wolf,nm0039192
Tony Leondis,nm1902232
Gino Nichele,nm0629306
Shinji Higuchi,nm0383688
Stuart Gillard,nm0318795
Tim Sutton,nm4991744
Spike Jonze,nm0005069
Nadja Loschky,nm14032663
Jared Hess,nm0381478
Mike Barker,nm0054954
Michael Spierig,nm1294961
Robert Luketic,nm0525659
Dutch Marich,nm2738755
Peter Segal,nm0781842
Glenn Ficarra,nm0275629
Paul Weitz,nm0919369
Laura Mora Ortega,nm2005384
Nagisa Ôshima,nm0651915
Tony Cervone,nm0148999
Fernando Meirelles,nm0576987
James Wong,nm0939128
Christian Rivers,nm0729514
Chus Gutiérrez,nm0349484
Eric Bress,nm0107774
John Andreas Andersen,nm0026174
Shuki Levy,nm0506619
Vince Marcello,nm1479803
John Logan,nm0517589
Susanne Bier,nm0081540
Pascal Laugier,nm1052791
Cecilie A. Mosli,nm0039402
Stephen Gaghan,nm0300866
Kyohei Ishiguro,nm6660754
Rob Minkoff,nm0591450
Mark Waters,nm0914132
Roman Polanski,nm0000591
Michael Goi,nm0003922
Holger Tappe,nm1637852
Yoshinobu Sena,nm6482910
Rob Zombie,nm0957772
Michael Thurmeier,nm0862211
Tony Jaa,nm1388074
Sidney Lumet,nm0001486
Abel Ferrara,nm0001206
Tom Six,nm1519353
Mattson Tomlin,nm3231728
Rodo Sayagues,nm2140186
Matthias Schweighöfer,nm0777788
Tetsurô Araki,nm2013928
Eric Brevig,nm0108094
Richard Kelly,nm0446819
Jerry Zucker,nm0958387
P.J. Hogan,nm0389591
Janus Metz,nm2178458
Marc Carreté,nm4787750
Sheldon Lettich,nm0504802
Brian Robbins,nm0005367
Maciej Kawulski,nm10398220
Martin Weisz,nm1170286
Xiaopeng Tian,nm7291131
Phil Joanou,nm0423333
Mark Raso,nm1764816
François Leterrier,nm0504641
Danishka Esterhazy,nm0261629
Spike Lee,nm0000490
Sammi Cohen,nm3852987
Dean Devlin,nm0002041
Patrick Brice,nm2674307
Dave Wilson,nm1702145
Michael Gracey,nm1243905
Ariel Vromen,nm1033517
John Erick Dowdle,nm0235719
Vic Armstrong,nm0002184
Frank Miller,nm0588340
