ID,Director,STARmeter
nm0878756,Tom Tykwer,13007
nm0340958,Alister Grierson,97147
nm1234893,Sylvain White,35652
nm0751102,David O. Russell,4469
nm1409622,Lee Hae-jun,219280
nm0919514,Bo Welch,9751
nm4136807,Elaine Bogan,495448
nm2410311,Dean Israelite,35270
nm0617523,Måns Mårlind,71245
nm0958969,Harald Zwart,39576
nm0489453,Casey La Scala,76832
nm0757975,Tarik Saleh,32858
nm1316072,Nora Twomey,66222
nm1509613,Jorge R. Gutiérrez,39938
nm0784061,Dominic Sena,22293
nm4864836,Edward Drake,33712
nm5472963,Brett Bentman,71128
nm1356588,Stefano Sollima,15547
nm6213247,Takana Shirai,596996
nm0609236,Jonathan Mostow,20930
nm0002653,Joe Johnston,12567
nm0726638,Patricia Riggen,33977
nm1406845,Sung-ho Hong,221843
nm0709056,Peter Ramsey,40354
nm0556573,Adam Mason,68624
nm0003620,Kevin Smith,1699
nm8588869,Kang Hoon,670835
nm2973729,Asif Akbar,42829
nm0716347,Nicolas Winding Refn,4258
nm0124900,Eamonn Butler,254922
nm0035899,Samuel Armstrong,346397
nm0307497,Alex Garland,2043
nm0155093,Peter Chelsom,37748
nm0467646,Ted Kotcheff,23674
nm0717225,Daina Reid,78372
nm0000948,Shane Black,3502
nm0001219,Gary Fleder,28228
nm0003418,Rob Cohen,15930
nm0270822,Daniela Fejerman,489314
nm3868633,Severin Fiala,42493
nm0001149,Richard Donner,8330
nm0622112,Vincenzo Natali,22961
nm3563342,Jayro Bustamante,71576
nm0570912,Adam McKay,3281
nm0400436,Albert Hughes,20106
nm0281808,Victor Fleming,19353
nm1893665,Ali Samadi Ahadi,388658
nm0824882,Burr Steers,33240
nm0228147,Mark A.Z. Dippé,62787
nm1777600,Chris Carr,1056827
nm5507490,Aleksander Bach,116300
nm1051221,Katie Aselton,2542
nm0915304,Scott Waugh,21578
nm2441699,Graham Moore,26747
nm0388505,Paul Hoen,67802
nm1512910,Duncan Jones,4847
nm0238841,Don Mancini,33373
nm0836328,John Sturges,17466
nm3096701,Kôtarô Tamura,264240
nm0525303,Baz Luhrmann,3759
nm0192478,Kat Coiro,26138
nm2284484,Gareth Edwards,1932
nm4469445,Julia Ducournau,12212
nm1164861,Seth Gordon,13767
nm0561089,Roberto Mauri,162570
nm3232264,Reinaldo Marcus Green,6305
nm1580671,Jon S. Baird,12592
nm5504892,Renaud Gauthier,226765
nm0955443,Yimou Zhang,11676
nm0573732,Sean McNamara,20021
nm0000255,Ben Affleck,282
nm2618764,Gerard McMurray,69196
nm0453518,Jee-woon Kim,12670
nm0000776,Michael Apted,19553
nm2320725,Ethan Spaulding,66690
nm0074426,Bibo Bergeron,129628
nm1242062,Arie Posin,105666
nm0193485,Richard Curtis,8827
nm1635570,Andy Suriano,190172
nm0151630,Aman Chang,628111
nm2503633,Josh Trank,14246
nm0159507,Stephen Chow,6631
nm0510731,Doug Liman,838
nm0426333,Tim Johnson,57598
nm1358366,Andrew Hyatt,53488
nm0001466,Sergio Leone,5941
nm0001053,Ethan Coen,1741
nm0000965,Danny Boyle,2300
nm4274789,Luke Armstrong,418441
nm0503611,Gail Lerner,223674
nm0520485,Peter Lord,44135
nm3487158,Brad Grimm,1041940
nm0868153,Giuseppe Tornatore,12547
nm3227090,Damien Chazelle,2191
nm0675102,J.J. Perry,24459
nm0378144,Jonathan Hensleigh,27017
nm0768249,Geoffrey Sax,90953
nm0464911,Yoshifumi Kondô,58357
nm0300265,Mike Gabriel,138081
nm3771438,Mark A.C. Brown,357818
