Column1;ID;titre_original;acteur_1;acteur_2;acteur_3;acteur_4;real_1;real_2;real_3;scen_1;scen_2;scen_3;distrib_1;distrib_2;distrib_3;genre_1;genre_2;genre_3;genre_4;genre_5;genre_6;genre_7;pays;jour_sortie;mois_sortie;annee_sortie;day_of_week_sortie;note_presse;duree;premiere_semaine_france;budget
7713;249362;La Vie de Château;Jacky Ido; Tatiana Rojo; Jean-Baptiste Anoumon; Felicite Wouassi;Modi Barry; Cédric Ido;;Modi Barry; Cédric Ido;;Happiness Distribution;;;Comédie dramatique;;;;;;;France;9.0;8.0;2017.0;2.0;2.8;82.0;3883.0;
7714;249381;The Hustle;Rebel Wilson; Anne Hathaway; Alex Sharp (II); Casper Christensen;Chris Addison;;;Jac Schaeffer; Stanley Shapiro; Paul Henning;Universal Pictures International France;;;Comédie;;;;;;;U.S.A.;17.0;7.0;2019.0;2.0;1.5;94.0;120378.0;
7715;249383;A Vida Invisível de Eurídice Gusmão;Carol Duarte; Julia Stockler; Gregório Duvivier; Bárbara Santos;Karim Aïnouz;;;Murilo Hauser; Karim Aïnouz; Inés Bortagaray;ARP Sélection;;;Drame; Romance;;;;;;Brésil;11.0;12.0;2019.0;2.0;4.1;140.0;20140.0;
7716;249396;L'Angle Mort;Jean-Christophe Folly; Isabelle Carré; Golshifteh Farahani; Sami Ameziane;Patrick-Mario Bernard; Pierre Trividic;;Patrick-Mario Bernard; Pierre Trividic; Emmanuel Carrère;Rouge Distribution;;;Drame; Fantastique;;;;;;France;16.0;10.0;2019.0;2.0;3.4;104.0;6998.0;
7717;249444;Le Jeune Ahmed;Idir Ben Addi; Olivier Bonnaud; Myriem Akheddiou; Victoria Bluck;Luc Dardenne; Jean-Pierre Dardenne;;Luc Dardenne; Jean-Pierre Dardenne;;Diaphana Distribution;;;Drame;;;;;;;Belgique;22.0;5.0;2019.0;2.0;3.7;84.0;58159.0;$21,291
7718;249520;Werewolf;Andrew Gillis; Bhreagh MacNeil; Kyle M. Hamilton;;Ashley McKenzie;;;Ashley McKenzie;;;Ligne 7;;;Drame;;;;;;;Canada;22.0;3.0;2017.0;2.0;2.6;80.0;154.0;
7719;249531;Life Itself;Oscar Isaac; Olivia Wilde; Annette Bening; Mandy Patinkin;Dan Fogelman;;;Dan Fogelman;;;Mars Films;;;Drame; Romance;;;;;;U.S.A.;31.0;10.0;2018.0;2.0;2.7;113.0;6089.0;$10,000,000 (estimated)
7720;249545;Ku Qian;;;;;Wang Bing;;;Wang Bing;;;Les Acacias;;;Documentaire;;;;;;;Hong-Kong;22.0;11.0;2017.0;2.0;3.9;156.0;1332.0;
7721;249566;The Aftermath;Keira Knightley; Jason Clarke; Alexander Skarsgård; Kate Phillips;James Kent;;;Anna Waterhouse; Joe Shrapnel; Rhidian Brook;Condor Distribution;;;Drame; Romance;;;;;;Grande-Bretagne;1.0;5.0;2019.0;2.0;2.5;108.0;52072.0;
7722;249609;Laavor et Hakir;Noa Koler; Amos Tamam; Oz Zehavi; Irit Sheleg;Rama Burshtein-Shay;;;Rama Burshtein-Shay;;;Mag Distribution;;;Comédie; Romance;;;;;;Israël;27.0;12.0;2017.0;2.0;3.1;110.0;7669.0;$1,412,404
7723;249654;Le Grand Méchant Renard et autres contes;;;;;Benjamin Renner; Patrick Imbert;;Benjamin Renner; Jean Regnaud; Benjamin Renner;StudioCanal;;;Aventure; Animation;;;;;;France;21.0;6.0;2017.0;2.0;4.0;80.0;125891.0;$3,000,000 (estimated)
7724;249655;Les Hommes du feu;Roschdy Zem; Emilie Dequenne; Michaël Abiteboul; Grégoire Isvarine;Pierre Jolivet;;;Pierre Jolivet; Marcia Romano;;StudioCanal;;;Drame; Thriller;;;;;;France;5.0;7.0;2017.0;2.0;3.2;93.0;104527.0;$1,451,496
7725;249662;Le Chemin;Agathe Bonitzer; Randal Douc; Somany Na; Agnès Sénémaud;Jeanne Labrune;;;Jeanne Labrune; Michel Huriet;;Epicentre Films;;;Drame;;;;;;;France;6.0;9.0;2017.0;2.0;2.6;91.0;5204.0;
7726;249663;L'Amour des hommes;Hafsia Herzi; Raouf Ben Amor; Haythem Achour; Sondos Belhassen;Mehdi Ben Attia;;;Mehdi Ben Attia; Martin Drouot;;Epicentre Films;;;Drame;;;;;;;France;28.0;2.0;2018.0;2.0;2.9;105.0;6830.0;
7727;249702;Captive State;Ashton Sanders; John Goodman; Vera Farmiga; Jonathan Majors;Rupert Wyatt;;;Rupert Wyatt; Erica Beeney;;Metropolitan FilmExport;;;Science Fiction; Thriller;;;;;;U.S.A.;3.0;4.0;2019.0;2.0;2.8;111.0;79311.0;$25,000,000 (estimated)
