Column1;ID;Budget_dollards
259;28802; 85 000 000,0   
460;34517; 85 000 000,0   
758;48007; 85 000 000,0   
1132;57132; 85 000 000,0   
1359;59897; 85 000 000,0   
1379;60132; 85 000 000,0   
1391;60426; 85 000 000,0   
1447;61256; 85 000 000,0   
1632;109635; 85 000 000,0   
1837;114653; 85 000 000,0   
1840;114729; 85 000 000,0   
2055;126079; 85 000 000,0   
2378;131334; 85 000 000,0   
2833;138728; 85 000 000,0   
2868;139202; 85 000 000,0   
3900;183321; 85 000 000,0   
4507;195022; 85 000 000,0   
4615;196612; 85 000 000,0   
6227;228094; 85 000 000,0   
7991;253538; 85 000 000,0   
597;42753; 85 000 000,0   
1669;110195; 85 000 000,0   
1448;61259; 84 240 000,0   
286;28920; 84 000 000,0   
729;47333; 84 000 000,0   
4172;189613; 84 000 000,0   
721;47179; 82 500 000,0   
2097;126882; 82 000 000,0   
8219;256523; 82 000 000,0   
606;43219; 81 000 000,0   
49;20153; 80 000 000,0   
118;27067; 80 000 000,0   
137;27444; 80 000 000,0   
214;28560; 80 000 000,0   
241;28714; 80 000 000,0   
274;28874; 80 000 000,0   
309;29005; 80 000 000,0   
360;29207; 80 000 000,0   
481;35143; 80 000 000,0   
562;41239; 80 000 000,0   
575;41504; 80 000 000,0   
585;42151; 80 000 000,0   
648;45043; 80 000 000,0   
696;46533; 80 000 000,0   
713;47019; 80 000 000,0   
821;49774; 80 000 000,0   
903;52502; 80 000 000,0   
954;53658; 80 000 000,0   
1011;54350; 80 000 000,0   
1180;57616; 80 000 000,0   
1500;61764; 80 000 000,0   
1519;86789; 80 000 000,0   
1527;103306; 80 000 000,0   
1834;114624; 80 000 000,0   
2064;126259; 80 000 000,0   
2111;127136; 80 000 000,0   
2145;127911; 80 000 000,0   
2150;127947; 80 000 000,0   
2215;128955; 80 000 000,0   
2272;129766; 80 000 000,0   
2312;130297; 80 000 000,0   
2417;132039; 80 000 000,0   
2630;135561; 80 000 000,0   
2678;136018; 80 000 000,0   
2941;140458; 80 000 000,0   
3302;147508; 80 000 000,0   
3541;176518; 80 000 000,0   
4091;187818; 80 000 000,0   
4797;200730; 80 000 000,0   
4988;205445; 80 000 000,0   
5391;215570; 80 000 000,0   
5716;221875; 80 000 000,0   
7164;241421; 80 000 000,0   
9814;280993; 80 000 000,0   
9817;281087; 80 000 000,0   
1382;60180; 80 000 000,0   
3122;144132; 80 000 000,0   
6057;226447; 80 000 000,0   
6644;232949; 80 000 000,0   
492;35535; 79 000 000,0   
1531;106905; 79 000 000,0   
3162;144687; 79 000 000,0   
5133;208633; 79 000 000,0   
273;28869; 78 000 000,0   
530;39178; 78 000 000,0   
591;42391; 78 000 000,0   
3169;145083; 78 000 000,0   
4558;195899; 78 000 000,0   
1212;57890; 77 508 480,0   
661;45319; 76 000 000,0   
1416;60792; 76 000 000,0   
4220;190299; 76 000 000,0   
28;16591; 75 000 000,0   
143;27551; 75 000 000,0   
154;27792; 75 000 000,0   
201;28512; 75 000 000,0   
219;28596; 75 000 000,0   
289;28930; 75 000 000,0   
479;35139; 75 000 000,0   
571;41332; 75 000 000,0   
643;44889; 75 000 000,0   
740;47594; 75 000 000,0   
801;49077; 75 000 000,0   
934;53218; 75 000 000,0   
939;53335; 75 000 000,0   
1010;54348; 75 000 000,0   
1410;60723; 75 000 000,0   
1490;61657; 75 000 000,0   
1740;111112; 75 000 000,0   
1806;112075; 75 000 000,0   
2110;127129; 75 000 000,0   
2574;134724; 75 000 000,0   
2918;140136; 75 000 000,0   
2942;140459; 75 000 000,0   
3392;172168; 75 000 000,0   
3661;178869; 75 000 000,0   
3734;180341; 75 000 000,0   
3851;182605; 75 000 000,0   
4050;186586; 75 000 000,0   
6919;237443; 75 000 000,0   
8823;264475; 75 000 000,0   
9586;277129; 75 000 000,0   
9675;278661; 75 000 000,0   
863;51499; 75 000 000,0   
1980;123837; 75 000 000,0   
2977;140988; 75 000 000,0   
5483;217959; 74 223 861,0   
45;19439; 73 000 000,0   
6272;228473; 72 313 750,0   
555;41010; 72 000 000,0   
1121;56910; 72 000 000,0   
6316;228849; 71 485 200,0   
2813;138529; 70 627 617,0   
2020;125317; 70 200 000,0   
2021;125318; 70 200 000,0   
36;18598; 70 000 000,0   
81;26561; 70 000 000,0   
94;26854; 70 000 000,0   
144;27552; 70 000 000,0   
228;28644; 70 000 000,0   
229;28654; 70 000 000,0   
287;28921; 70 000 000,0   
312;29008; 70 000 000,0   
485;35157; 70 000 000,0   
529;39160; 70 000 000,0   
719;47141; 70 000 000,0   
743;47705; 70 000 000,0   
825;50127; 70 000 000,0   
829;50154; 70 000 000,0   
1108;56824; 70 000 000,0   
1160;57432; 70 000 000,0   
1386;60207; 70 000 000,0   
1387;60208; 70 000 000,0   
1397;60581; 70 000 000,0   
1504;62537; 70 000 000,0   
1547;108634; 70 000 000,0   
1688;110419; 70 000 000,0   
1705;110644; 70 000 000,0   
1896;119087; 70 000 000,0   
2089;126662; 70 000 000,0   
2142;127877; 70 000 000,0   
2185;128600; 70 000 000,0   
2291;130082; 70 000 000,0   
2535;134194; 70 000 000,0   
2885;139374; 70 000 000,0   
3191;145364; 70 000 000,0   
3265;146608; 70 000 000,0   
3362;171098; 70 000 000,0   
3816;181754; 70 000 000,0   
4822;201434; 70 000 000,0   
4894;203440; 70 000 000,0   
4977;204923; 70 000 000,0   
5500;218303; 70 000 000,0   
5528;218770; 70 000 000,0   
6916;237409; 70 000 000,0   
8685;262827; 70 000 000,0   
9650;278182; 70 000 000,0   
10553;300107; 70 000 000,0   
1231;58082; 70 000 000,0   
3002;141538; 70 000 000,0   
3341;170530; 70 000 000,0   
3956;184552; 70 000 000,0   
959;53738; 69 000 000,0   
2960;140623; 69 000 000,0   
1523;89997; 69 000 000,0   
6115;227002; 68 005 000,0   
165;28235; 68 000 000,0   
216;28569; 68 000 000,0   
372;29260; 68 000 000,0   
