,nom,nconst
2883,JoeCornish,nm0180428
7032,AlanCorno,nm0180444
912,JeromeCornuau,nm0180462
418,CatherineCorsini,nm0181117
2366,RodrigoCortes,nm0181579
2265,PhilippeCosson,nm0181991
2302,PedroCosta,nm0182275
3528,LeonardoDiCostanzo,nm0182450
2657,SaverioCostanzo,nm0182459
4761,FlaviaCoste,nm0182669
6320,JuanManuelCotelo,nm0182815
4935,IvanCotroneo,nm0182891
4130,DelphineCoulin,nm0183419
2587,MurielCoulin,nm0183421
250,EmmanuelCourcol,nm0183686
6706,LaurentCourtiaud,nm0183837
1333,OlivierCoussemacq,nm0184137
2796,GustavoCova,nm0184362
4032,PaulCox,nm0185187
2527,EliCraig,nm0185848
635,EmanueleCrialese,nm0187740
516,MichaelCristofer,nm0188165
3234,BrandonCronenberg,nm0188722
4239,HaroldCrooks,nm0188899
1822,JohnCrowley,nm0189749
1655,PolCruchten,nm0189929
5079,AngelesCruz,nm0190502
666,AlfonsoCuaron,nm0190859
1667,CarlosCuaron,nm0190860
3876,JonasCuaron,nm0190861
1283,EmmanuelleCuau,nm0190866
2196,NicolasCuche,nm0190988
170,JoseLuisCuerda,nm0191109
1787,MichaelCuesta,nm0191147
2275,R.J.Cutler,nm0191712
1482,DavidL.Cunningham,nm0192289
5845,KatCoiro,nm0192478
3868,ChristopheCupelin,nm0192544
1220,JohnCurran,nm0192845
1432,AndrewCurrie,nm0192933
2592,EdwardS.Curtis,nm0193327
604,RichardCurtis,nm0193485
2514,SimonCurtis,nm0193508
6901,JoaoRuiGuerradaMata,nm0196134
4665,HugoVieiradaSilva,nm0196248
314,OlivierDahan,nm0196860
2550,LeonDai,nm0197240
22,StephenDaldry,nm0197636
7063,RichardDale,nm0197773
3126,AncaDamian,nm0198746
3760,AudreyDana,nm0199047
5639,AneeshDaniel,nm0199577
1780,LeeDaniels,nm0200005
2867,BrianDannelly,nm0200380
329,PepeDanquart,nm0200500
1101,Jean-PierreDardenne,nm0201094
4419,LucDardenne,nm0201095
31,EricDarnell,nm0201509
1109,Jean-PierreDarroussin,nm0201669
3172,FlorenceDauman,nm0202368
1892,TerenceDavies,nm0203993
4080,GarthDavis,nm0204628
503,JohnA.Davis,nm0204884
1175,MichaelDavis,nm0205157
541,TamraDavis,nm0205542
1242,Jean-FrancoisDavy,nm0205844
1309,JonathanDayton,nm0206760
1705,ToninoDeBernardi,nm0207402
