,nom,ID,STARmeter,recompenses,carriere_duree,films_series
154,CharlotteGainsbourg,nm0001250,2195.0,4.0,40.0,82.0
155,JustinLong,nm0519043,1634.0,0.0,24.0,71.0
156,MonicaBellucci,nm0000899,365.0,5.0,30.0,91.0
157,KarlFridrich,,,0.0,0.0,0.0
158,JeremyIrons,nm0000460,871.0,6.0,52.0,123.0
159,JenniferLopez,nm0000182,604.0,0.0,38.0,56.0
160,HarrisonFord,nm0000148,272.0,4.0,58.0,91.0
161,DavidArquette,nm0000274,4394.0,0.0,33.0,113.0
162,GerardDepardieu,nm0000367,5771.0,13.0,58.0,260.0
163,TigerHuChen,nm0155392,48832.0,0.0,43.0,11.0
164,UmaThurman,nm0000235,1222.0,2.0,35.0,72.0
165,KeanuReeves,nm0000206,150.0,0.0,38.0,99.0
166,MikeMyers,nm0000196,2231.0,3.0,36.0,34.0
167,JetLi,nm0001472,3594.0,0.0,38.0,51.0
168,EugeniaYuan,nm1067699,27675.0,0.0,19.0,18.0
169,NanniMoretti,nm0604335,19429.0,7.0,50.0,36.0
170,IsabelleCarre,nm0141140,22506.0,5.0,35.0,89.0
171,TatsuyaFujiwara,nm0297885,25284.0,0.0,20.0,23.0
172,JavierBardem,nm0000849,540.0,11.0,34.0,71.0
173,GabrielMacht,nm0532683,222.0,0.0,39.0,32.0
174,JavierCamara,nm0194572,30795.0,2.0,25.0,53.0
175,EwanMcGregor,nm0000191,433.0,4.0,31.0,85.0
176,NicoleGarcia,nm0305368,34260.0,1.0,56.0,93.0
177,WesleySnipes,nm0000648,2710.0,1.0,37.0,71.0
178,IsabelleHuppert,nm0001376,3356.0,19.0,53.0,173.0
179,RomainDuris,nm0244151,11028.0,6.0,30.0,68.0
180,NaomiWatts,nm0915208,198.0,2.0,38.0,90.0
181,RichardGere,nm0000152,1486.0,3.0,48.0,76.0
182,FannyArdant,nm0000272,6773.0,4.0,48.0,111.0
183,AdmiralT,,,0.0,0.0,2.0
184,PascalDemolon,nm0218615,119127.0,0.0,31.0,98.0
185,JacquesPerrin,nm0674742,27347.0,6.0,76.0,120.0
186,RobinWilliams,nm0000245,500.0,7.0,37.0,82.0
187,MichaelMoore,nm0601620,130307.0,3.0,29.0,25.0
188,LivTyler,nm0000239,577.0,0.0,27.0,37.0
189,KimBasinger,nm0000107,1401.0,3.0,41.0,53.0
190,RobertKlein,nm0458951,19589.0,0.0,47.0,46.0
191,JeremySumpter,nm0838911,4211.0,0.0,21.0,28.0
192,ColinFarrell,nm0268199,247.0,4.0,26.0,69.0
193,CameronDiaz,nm0000139,898.0,0.0,25.0,46.0
194,JeffDaniels,nm0001099,2734.0,2.0,41.0,81.0
195,AllisonLange,nm0486068,26671.0,0.0,11.0,15.0
196,HenryIanCusick,nm0193738,4284.0,0.0,26.0,42.0
197,JasonMomoa,nm0597388,154.0,0.0,24.0,50.0
198,SamRockwell,nm0005377,81.0,4.0,37.0,99.0
199,ChristianBale,nm0000288,72.0,6.0,38.0,62.0
200,TimRobbins,nm0000209,1702.0,4.0,44.0,76.0
201,PatrickDell&#039;Isola,,,,,
