ID;actors_score;directors_score;scenaristes_score;distrib_score;Action;Animation;Aventure;Biopic;Comedie;Comedie dramatique;Comedie musicale;Drame;Epouvante-horreur;Famille;Fantastique;Guerre;Historique;Musical;Policier;Romance;Science Fiction;Thriller;Western;France;USA;Angleterre;Autres;jour_sortie;mois_sortie;annee_sortie;day_of_week_sortie;note_presse;duree;premiere_semaine_france;Budget_dollards
294372;0,38183198200000;1,19774883700000;0,20927491700000;0,02412000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1.0;11.0;2022;1;3.3;104.0;19030;740
266744;0,40794334200000;1,40159715700000;0,70476521300000;0,01403000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2.0;9.0;2020;2;3.4;107.0;5834;756
271387;0,54089967200000;1,13683477600000;0,15030976800000;0,03340000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;25.0;8.0;2021;2;3.0;116.0;99007;762
146629;0,38121925900000;1,61301840100000;0,68340739000000;0,02334000000000;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;7.0;4.0;2010;2;3.0;99.0;64195;848
143963;0,39995498300000;1,20850409400000;0,24121359500000;0,00774000000000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;25.0;3.0;2009;2;1.8;91.0;158;860
227825;0,00105820100000;0,51573915700000;0,44162226100000;0,02372000000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;28.0;5.0;2014;2;3.6;106.0;7125;876
280182;0,46478798800000;0,98794073500000;0,01169590600000;0,02334000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;21.0;7.0;2021;2;2.9;86.0;3597;879
229135;0,36460067200000;1,50877931700000;0,56409681700000;0,02587000000000;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;6.0;5.0;2015;2;2.7;98.0;60561;889
134691;0,62353035300000;1,23151385000000;0,28846042500000;0,02587000000000;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;27.0;2.0;2013;2;1.5;85.0;871475;894
268797;0,04719671000000;1,09590923800000;0,14399861000000;0,02324000000000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11.0;9.0;2019;2;3.1;64.0;21;898
