ID;annee;titre;premiere_semaine;budget
17378;2017;Jigsaw;302467;10000000
17568;2017;Lady Bird;133169;10000000
17893;2018;Hereditary;89652;10000000
18088;2018;Book Club;70496;10000000
18191;2018;Halloween (2018);413854;10000000
18513;2018;Life Itself;6089;10000000
18764;2019;Stan & Ollie;19312;10000000
19198;2019;Child's Play (2019);87030;10000000
19775;2019;The Good Liar;66229;10000000
19777;2020;The Grudge (2020);105972;10000000
20178;2020;Brahms: The Boy II;95830;10000000
21108;2021;The Unholy (2021);44287;10000000
21262;2021;Don't Breathe 2;58266;10000000
22271;2022;The Invitation;70137;10000000
23151;2023;The Inventor;87482;10000000
166;2007;My Blueberry Nights;150199;10800000
781;2005;Combien tu m'aimes?;294836;10800000
1140;2004;Pédale dure;235188;10800000
10823;2009;Lascars;222993;10800000
11053;2009;Loup;292851;10800000
11103;2010;Une petite zone de turbulences;256377;10800000
12634;2012;Comme un chef;171863;10800000
22661;2023;Pattie et la colère de Poséidon;210409;10800000
17808;2018;Tout le monde debout;897452;10821600
10757;2009;La Véritable histoire du Chat botté;71886;10875600
22689;2023;10 jours encore sans maman;256753;10875600
10068;2008;JCVD;100684;10904852,88
16980;2017;Going To Brazil;51484;10905469,56
871;2005;L'Avion;73667;10953327,6
461;2006;Lassie (2006);121640;10144904
13913;2014;Minuscule - La vallée des fourmis perdues;392852;10962955,8
132;2007;Hostel Part II;64374;10200000
19756;2020;Police (2020);84682;11016000
12789;2012;Thérèse Desqueyroux (2012);228534;11017931,04
2113;2001;Le Petit Poucet;343523;11048400
11270;2010;600Kg d'or pur;104153;11070000
18939;2019;Just a gigolo;133641;11070000
9961;2008;Inju, la bête dans l'ombre;49334;11110859,64
1581;2003;Rencontre avec le dragon;77179;11113200
16042;2016;Mal de Pierres;283843;11122131,6
10694;2009;Je l'aimais;311476;11124000
15744;2016;Colonia;54959;11144527,56
14155;2014;The Zero Theorem;40523;11165268,96
10388;2009;Envoyés très spéciaux;274472;11175543
15906;2016;The Red Turtle;79745;11208998,16
13049;2012;Nous York;373432;11228245,92
17532;2017;Tout là-haut;104791;11232000
13967;2014;Une Promesse;54391;11247351,12
1467;2003;Je reste!;301211;11264400
13664;2013;Belle et Sébastien;683604;11264400
12255;2011;Voyez comme ils dansent;25256;11329200
11543;2002;E.T. The Extra-terrestrial(20th Anniversary);181620;10500000
