,ID,titre_original,acteur_1,acteur_2,acteur_3,acteur_4,real_1,real_2,real_3,scen_1,scen_2,scen_3,distrib_1,distrib_2,distrib_3,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,pays,jour_sortie,mois_sortie,annee_sortie,day_of_week_sortie,note_presse,duree,premiere_semaine_france,Budget_dollards
2774,137903,Resident Evil: Afterlife,Milla Jovovich, Ali Larter, Shawn Roberts, Wentworth Miller,Paul W.S. Anderson,,,Paul W.S. Anderson,,,Metropolitan FilmExport,,,Action, Epouvante-horreur,,,,,,U.S.A.,22.0,9.0,2010.0,2.0,1.3,100.0,404807.0,60000000.0
2775,137914,Louise Michel la rebelle,Sylvie Testud, Nathalie Boutefeu, Alexandre Steiger, Bernard Blancan,Solveig Anspach,,,Jacques Kirsner, Michel Ragon, Solveig Anspach,Hévadis Films,,,Biopic, Drame, Historique,,,,,France,7.0,4.0,2010.0,2.0,2.7,90.0,1560.0,
2776,137918,14 Kilómetros,Aminata Kanta, Adoum Moussa, Mahamadou Alzouma,,Gerardo Olivares,,,Gerardo Olivares,,,Colifilms Diffusion,,,Drame,,,,,,,Espagne,25.0,2.0,2009.0,2.0,2.8,95.0,886.0,234536.0
2777,137938,8 fois debout,Julie Gayet, Denis Podalydès, Constance Dollé, Mathieu Busson,Xabi Molia,,,Xabi Molia,,,UFO Distribution,,,Comédie dramatique,,,,,,,France,14.0,4.0,2010.0,2.0,3.6,103.0,35202.0,
2778,137973,The Cabin in the Woods,Kristen Connolly, Chris Hemsworth, Anna Hutchison, Fran Kranz,Drew Goddard,,,Joss Whedon, Drew Goddard,,Metropolitan FilmExport,,,Epouvante-horreur, Thriller,,,,,,U.S.A.,2.0,5.0,2012.0,2.0,3.5,95.0,154872.0,30000000.0
2779,138013,Coco Chanel & Igor Stravinsky,Anna Mouglalis, Mads Mikkelsen, Elena Morozova, Natacha Lindinger,Jan Kounen,,,Chris Greenhalgh, Carlo de Boutiny, Jan Kounen,Wild Bunch Distribution,,,Drame, Romance,,,,,,France,30.0,12.0,2009.0,2.0,2.7,118.0,73922.0,1621226.0
2780,138019,Red Dawn,Chris Hemsworth, Josh Peck, Adrianne Palicki, Josh Hutcherson,Dan Bradley,,,Carl Ellsworth, Jeremy Passmore,,Metropolitan FilmExport,,,Action, Guerre,,,,,,U.S.A.,28.0,8.0,2013.0,2.0,1.5,93.0,41367.0,65000000.0
2781,138046,Poursuite,Marina Déak, Yann Guillemot, Renaud Dehesdin, Paul Cahen,Marina Déak,,,Marina Déak,,,Contre-Allée Distribution,,,Drame,,,,,,,France,9.0,3.0,2011.0,2.0,3.2,92.0,1114.0,
2782,138070,Dans tes bras,Michèle Laroque, Martin Loizillon, Lola Naymark, Catherine Mouchet,Hubert Gillet,,,Hubert Gillet, Anna da Palma, Hubert Gillet,Haut et Court,,,Drame,,,,,,,France,1.0,7.0,2009.0,2.0,2.9,83.0,7425.0,48777.0
2783,138072,Adieu Gary,Jean-Pierre Bacri, Dominique Reymond, Yasmine Belmadi, Sabrina Ouazani,Nassim Amaouche,,,Nassim Amaouche,,,StudioCanal,,,Comédie dramatique,,,,,,,France,22.0,7.0,2009.0,2.0,3.7,75.0,33700.0,751737.0
