ID_film;titre_original;acteur_1;acteur_2;acteur_3;acteur_4;real_1;real_2;real_3;scen_1;scen_2;scen_3;scen_4;score_disctrib;genre_1;genre_2;genre_3;genre_4;genre_5;genre_6;genre_7;pays;jour_sortie;mois_sortie;annee_sortie;day_of_week_sortie;note_presse;duree;budegt_dollars;premiere_semaine_france
140458;TheExpendables;SylvesterStallone;JasonStatham;JetLi;DolphLundgren;SylvesterStallone;;;SylvesterStallone;DaveCallaham;DaveCallaham;;0,04368;Action;;;;;;;USA;18;8;2010;2;2,8;105;80000000;773121
140459;Immortals;HenryCavill;MickeyRourke;LukeEvans;StephenDorff;TarsemSingh;;;CharleyParlapanides;VlasParlapanides;;;0,04368;Action; Aventure; Fantastique;;;;;USA;23;11;2011;2;1,9;110;75000000;210005
140467;Uneaffairedenegres;;;;;OsvaldeLewat;;;OsvaldeLewat;;;;0,01328;Documentaire;;;;;;;France;23;9;2009;2;3,6;90;;560
140471;MotherandChild;NaomiWatts;AnnetteBening;KerryWashington;ShareekaEpps;RodrigoGarcia;;;RodrigoGarcia;;;;0,02287;Drame;;;;;;;USA;17;11;2010;2;2,9;125;7000000;46080
140472;Gulliver'sTravels;JackBlack;JasonSegel;EmilyBlunt;AmandaPeet;RobLetterman;;;JoeStillman;NicholasStoller;JonathanSwift;;0,02846;Aventure; Comedie;;;;;;USA;3;2;2009;1;1,7;85;112000000;303203
140487;TheBeaver;MelGibson;JodieFoster;AntonYelchin;RileyThomasStewart;JodieFoster;;;KyleKillen;;;;0,02585;Drame;;;;;;;USA;25;5;2011;2;3,2;91;19000000;91336
140489;Oldboy;JoshBrolin;ElizabethOlsen;SharltoCopley;SamuelL.Jackson;SpikeLee;;;MarkProtosevich;GaronTsuchiya;NobuakiMinegishi;;0,02973;Thriller;;;;;;;USA;1;1;2014;2;2,4;104;30000000;20083
140493;SoulPower;MohamedAli;JamesBrown;CeliaCruz;B.B.King;JeffreyLevy-Hinte;;;;;;;0,00741;Documentaire;;;;;;;USA;10;6;2009;2;3,7;93;207121;4494
140496;Tournee;MirandaColclasure;SuzanneRamsey;DirtyMartini;JulieAnnMuz;MathieuAmalric;;;MathieuAmalric;PhilippeDiFolco;MarceloNovaisTeles;;0,02668;Comedie; Drame;;;;;;France;30;6;2010;2;4,4;111;3801600;172154
140497;Aurora;CristiPuiu;ClaraVoda;ValeriaSeciu;LuminitaGheorghiu;CristiPuiu;;;CristiPuiu;;;;0,0247;Drame;;;;;;;Autre;21;3;2012;2;3,1;181;2000000;735
