,ID_x,titre_original,acteur_1,acteur_2,acteur_3,acteur_4,real_1,real_2,real_3,scen_1,scen_2,scen_3,scen_4,score_disctrib,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,pays,jour_sortie,mois_sortie,annee_sortie,day_of_week_sortie,note_presse,duree,premiere_semaine_france,Budget_dollards,ID_y,annee,titre,premiere_semaine,budget
5659,221252,Metamorphoses,AmiraAkili,SebastienHirel,MelodieRichard,DamienChapelle,ChristopheHonore,,,ChristopheHonore,Ovide,,,"0,02281",Comédie dramatique,,,,,,,France,3.0,9.0,2013.0,1.0,3.2,102.0,17819.0,,,,,,
5660,221254,Greta,IsabelleHuppert,ChloeGraceMoretz,MaikaMonroe,StephenRea,NeilJordan,,,RayWright,NeilJordan,RayWright,,"0,04368",Thriller,,,,,,,U.S.A.,12.0,6.0,2019.0,2.0,2.6,98.0,77019.0,,,,,,
5661,221270,RelatosSalvajes,RicardoDarin,OscarMartinez,LeonardoSbaraglia,EricaRivas,DamianSzifron,,,DamianSzifron,,,,"0,03340",Comédie, Drame,,,,,,Argentine,14.0,1.0,2015.0,2.0,3.5,122.0,160365.0,3300000.0,,,,,
5662,221273,Carminayamen,CarminaBarrios,MariaLeon,PacoCasaus,YolandaRamos,PacoLeon,,,PacoLeon,,,,"0,02093",Comédie,,,,,,,Espagne,27.0,7.0,2016.0,2.0,3.1,93.0,10921.0,2805947.0,,,,,
5663,221280,LeMurmureDesRuines,RubenVerdyan,SarassarSarayan,HovhanesKhoderyan,MarinaSargsyan,LilianedeKermadec,,,LilianedeKermadec,,,,"0,00000",Drame,,,,,,,France,26.0,6.0,2013.0,2.0,2.6,93.0,152.0,76.0,,,,,
5664,221282,TheHouseofMagic,,,,,BenStassen,JeremieDegruson,,BenStassen,DomonicParis,JamesFlynn,,"0,02587",Animation,,,,,,,Belgique,25.0,12.0,2013.0,2.0,3.4,85.0,398389.0,34000000.0,13768.0,2013.0,TheHouseofMagic,398389.0,25000000
5665,221289,Jesuismortmaisj'aidesamis,BouliLanners,WimWillaert,LyesSalem,SergeRiaboukine,GuillaumeMalandrin,StephaneMalandrin,,GuillaumeMalandrin,StephaneMalandrin,,,"0,01448",Comédie, Drame,,,,,,Belgique,22.0,7.0,2015.0,2.0,3.3,96.0,12458.0,,,,,,
5666,221306,DraussenistSommer,MariaDragus,NicoletteKrebitz,WolframKoch,PhilippeGraber,FriederikeJehn,,,FriederikeJehn,LaraSchutzsack,,,"0,01503",Drame,,,,,,,Allemagne,11.0,9.0,2013.0,2.0,3.1,96.0,393.0,,,,,,
5667,221314,Zama,DanielGimenezCacho,LolaDuenas,JuanMinujin,MatheusNachtergaele,LucreciaMartel,,,LucreciaMartel,AntonioDiBenedetto,,,"0,02470",Drame, Historique,,,,,,Argentine,11.0,7.0,2018.0,2.0,3.8,115.0,4798.0,,,,,,
5668,221329,Embrasse-moi!,Ocean,AlicePol,GregoryMontel,Sophie-MarieLarrouy,Ocean,CyprienVial,,Ocean,CyprienVial,,,"0,02287",Comédie, Romance,,,,,,France,5.0,7.0,2017.0,2.0,2.6,86.0,19302.0,113334.0,,,,,
5669,221357,Imagine,EdwardHogg,AlexandraMariaLara,MelchiorDerouet,FrancisFrappat,AndrzejJakimowski,,,AndrzejJakimowski,,,,"0,02472",Comédie dramatique, Drame,,,,,,France,23.0,10.0,2013.0,2.0,3.3,105.0,2626.0,,,,,,
5670,221359,Dungeons&Dragons:HonorAmongThieves,ChrisPine,MichelleRodriguez,Rege-JeanPage,JusticeSmith,JonathanGoldstein(XII),JohnFrancisDaley,,JonathanGoldstein(XII),JohnFrancisDaley,MichaelGilio,,"0,02429",Aventure, Fantastique,,,,,,U.S.A.,12.0,4.0,2023.0,2.0,3.3,134.0,420168.0,,22237.0,2023.0,Dungeons&Dragons:HonorAmongThieves,420168.0,150000000
5671,221361,Insurgent,ShaileneWoodley,TheoJames,OctaviaSpencer,JaiCourtney,RobertSchwentke,,,BrianDuffield,AkivaGoldsman,MarkBomback,,"0,02585",Action, Science Fiction,,,,,,U.S.A.,18.0,3.0,2015.0,2.0,3.1,119.0,1172398.0,,,,,,
5672,221375,FiveDances,RyanSteele,ReedLuplau,CatherineMiller,KimiyeCorwin,AlanBrown,,,AlanBrown,,,,"0,01158",Drame, Musical, Romance,,,,,U.S.A.,19.0,6.0,2013.0,2.0,2.6,83.0,574.0,5788.0,,,,,
5673,221387,JohnWick,KeanuReeves,MichaelNyqvist,AlfieAllen,WillemDafoe,DavidLeitch,ChadStahelski,,DerekKolstad,,,,"0,04368",Action, Thriller,,,,,,U.S.A.,29.0,10.0,2014.0,2.0,2.9,101.0,184851.0,20000000.0,14556.0,2014.0,JohnWick,184851.0,20000000
5674,221391,MidnightSpecial,MichaelShannon,JaedenMartell,JoelEdgerton,AdamDriver,JeffNichols,,,JeffNichols,,,,"0,03340",Aventure, Drame, Science Fiction,,,,,U.S.A.,16.0,3.0,2016.0,2.0,4.1,111.0,132693.0,18000000.0,15739.0,2016.0,MidnightSpecial,132693.0,18000000
5675,221404,Sadhu,SurajBaba,,,,GaelMetroz,,,,,,,"0,01516",Documentaire,,,,,,,Suisse,6.0,11.0,2013.0,2.0,3.0,93.0,1234.0,26902.0,,,,,
5676,221410,GabyBabyDoll,LolitaChammah,BenjaminBiolay,FelixMoati,PascalJoyeux,SophieLetourneur,,,SophieLetourneur,Anne-LouiseTrividic,,,"0,02470",Comédie, Drame, Romance,,,,,France,17.0,9.0,2014.0,2.0,2.8,88.0,7936.0,,,,,,
5677,221413,Chef,JonFavreau,JohnLeguizamo,SofiaVergara,ScarlettJohansson,JonFavreau,,,JonFavreau,,,,"0,02583",Comédie, Drame,,,,,,U.S.A.,29.0,10.0,2014.0,2.0,2.8,114.0,13798.0,,,,,,
5678,221418,MyOldLady,KevinKline,MaggieSmith,KristinScottThomas,DominiquePinon,IsraelHorovitz,,,IsraelHorovitz,,,,"0,01422",Comédie, Drame, Romance,,,,,U.S.A.,6.0,5.0,2015.0,2.0,3.5,102.0,47718.0,5000000.0,,,,,
5679,221419,LaFrench,JeanDujardin,GillesLellouche,BenoitMagimel,GuillaumeGouix,CedricJimenez,,,AudreyDiwan,CedricJimenez,,,"0,02338",Action, Policier, Thriller,,,,,France,3.0,12.0,2014.0,2.0,3.7,135.0,29130.0,26000000.0,14488.0,2014.0,LaFrench,521078.0,"24667210,8"
5680,221453,Manglehorn,AlPacino,HollyHunter,ChrisMessina,HarmonyKorine,DavidGordonGreen,,,PaulBradLogan,,,,"0,02192",Drame,,,,,,,U.S.A.,3.0,6.0,2015.0,2.0,2.7,97.0,15328.0,4000000.0,15220.0,2015.0,Manglehorn,15328.0,4000000
5681,221488,Libreetassoupi,BaptisteLecaplain,CharlotteLeBon,FelixMoati,DenisPodalydes,BenjaminGuedj,,,RomainMonnery,,,,"0,02338",Comédie,,,,,,,France,7.0,5.0,2014.0,2.0,2.7,93.0,73789.0,786962.0,14313.0,2014.0,Libreetassoupi,73789.0,"5425511,76"
5682,221499,LaBatailledeTabato,FatuDjebate,MamaduBaio,MutarDjebate,,JoaoViana,,,JoaoViana,,,,"0,02175",Drame,,,,,,,Guinée-Bissau,18.0,12.0,2013.0,2.0,2.8,83.0,454.0,,,,,,
5683,221506,DerkleineRabeSocke2-DasgrosseRennen,,,,,UtevonMunchow-Pohl,SandorJesse,,KatjaGrubel,NeleMoost,AnnetRudolph,,"0,01731",Animation, Famille,,,,,,Allemagne,21.0,10.0,2015.0,2.0,3.3,73.0,18795.0,,,,,,
5684,221524,TheMartian,MattDamon,JessicaChastain,KristenWiig,JeffDaniels,RidleyScott,,,DrewGoddard,AndyWeir,,,"0,02846",Science Fiction,,,,,,,U.S.A.,21.0,10.0,2015.0,2.0,3.5,144.0,1101028.0,109000000.0,14931.0,2015.0,TheMartian,1101028.0,108000000
5685,221527,SousLesJupesDesFilles,IsabelleAdjani,VanessaParadis,SylvieTestud,LaetitiaCasta,AudreyDana,,,AudreyDana,MurielleMagellan,RaphaelleDesplechin,,"0,02538",Comédie,,,,,,,France,4.0,6.0,2014.0,2.0,2.3,116.0,401687.0,13061533.0,,,,,
5686,221540,Avisdemistral,JeanReno,AnnaGaliena,ChloeJouannet,HugoDessioux,RoseBosch,,,RoseBosch,,,,"0,02338",Comédie dramatique,,,,,,,France,2.0,4.0,2014.0,2.0,2.0,105.0,203504.0,4519865.0,13770.0,2014.0,Avisdemistral,203504.0,9180000
5687,221541,TheFateoftheFurious,VinDiesel,DwayneJohnson,JasonStatham,MichelleRodriguez,F.GaryGray,,,ChrisMorgan,,,,"0,02973",Action, Thriller,,,,,,U.S.A.,12.0,4.0,2017.0,2.0,3.1,136.0,1861108.0,250000000.0,15184.0,2017.0,TheFateoftheFurious,1861108.0,250000000
5688,221542,F9TheFastSaga,VinDiesel,MichelleRodriguez,JordanaBrewster,TyreseGibson,JustinLin,,,DanielCasey,JustinLin,GaryScottThompson,,"0,02973",Action,,,,,,,U.S.A.,14.0,7.0,2021.0,2.0,2.7,143.0,1301589.0,,,,,,
5689,221563,PapaLumiere,NielsArestrup,JuliaComa,NatachaLindinger,BrunoTodeschini,AdaLoueilh,,,AdaLoueilh,,,,"0,02668",Drame,,,,,,,France,29.0,7.0,2015.0,2.0,2.6,84.0,3875.0,3000000.0,,,,,
5690,221564,Qu'AllahbenisselaFrance,MarcZinga,SabrinaOuazani,LarouciDidi,MickaelNagenraft,AbdAlMalik,,,AbdAlMalik,AbdAlMalik,,,"0,02467",Drame,,,,,,,France,10.0,12.0,2014.0,2.0,3.4,96.0,75089.0,857921.0,14918.0,2014.0,Qu'AllahbenisselaFrance,75089.0,"2698120,8"
5691,221566,RetouraIthaque,IsabelSantos,JorgePerugorria,FernandoHechavarria,NestorJimenez,LaurentCantet,,,LaurentCantet,LeonardoPaduraFuentes,FrancoisCrozade,,"0,02287",Comédie dramatique,,,,,,,France,3.0,12.0,2014.0,2.0,3.5,95.0,22224.0,402058.0,14916.0,2014.0,RetouraIthaque,22224.0,1322460
5692,221570,Loindeshommes,ViggoMortensen,RedaKateb,VincentMartin(II),NicolasGiraud,DavidOelhoffen,,,DavidOelhoffen,AlbertCamus,AntoineLacomblez,,"0,03024",Drame,,,,,,,France,14.0,1.0,2015.0,2.0,3.5,102.0,46337.0,7700000.0,14593.0,2015.0,Loindeshommes,46337.0,"5747306,4"
5693,221571,Afrik'Aioli,Jean-MarcRavera,MohamedMetina,ModouCisse,AbdoulayeDiakhate,ChristianPhilibert,,,ChristianPhilibert,JacquesDussart,,,"0,00309",Comédie,,,,,,,France,22.0,1.0,2014.0,2.0,2.9,95.0,12528.0,,,,,,
5694,221579,TheTransporterRefueled,EdSkrein,RayStevenson,LoanChabanol,GabriellaWright,CamilleDelamarre,,,BillCollage,AdamCooper,LucBesson,,"0,02372",Action,,,,,,,France,9.0,9.0,2015.0,2.0,2.1,97.0,262041.0,26920875.0,,,,,
5695,221595,MayatheBee-TheMovie,,,,,AlexsStadermann,SimonPickard,,FinEdquist,MarcusSauermann,WaldemarBonsels,,"0,01135",Aventure, Animation, Comédie, Famille,,,,Allemagne,4.0,2.0,2015.0,2.0,3.0,89.0,216623.0,,,,,,
5696,221611,Vierges,JoyRieger,EvgeniaDodina,MichaelAloni,ManuelElkaslassiVardi,KerenBenRafael,,,KerenBenRafael,EliseBenroubi,,,"0,02610",Drame,,,,,,,France,25.0,7.0,2018.0,2.0,2.9,91.0,6274.0,,,,,,
5697,221613,Ellel'adore,SandrineKiberlain,LaurentLafitte,PascalDemolon,OliviaCote,JeanneHerry,,,JeanneHerry,GaelleMace,JeanneHerry,,"0,02587",Comédie,,,,,,,France,24.0,9.0,2014.0,2.0,3.7,104.0,204698.0,15549.0,14474.0,2014.0,Ellel'adore,204698.0,"7008973,2"
5698,221615,MaldePierres,MarionCotillard,LouisGarrel,AlexBrendemuhl,BrigitteRouan,NicoleGarcia,,,NicoleGarcia,JacquesFieschi,MilenaAgus,,"0,02587",Drame,,,,,,,France,19.0,10.0,2016.0,2.0,3.5,121.0,283843.0,11124000.0,16042.0,2016.0,MaldePierres,283843.0,"11122131,6"
5699,221620,Five,PierreNiney,FrancoisCivil,IgorGotesman,MargotBancilhon,IgorGotesman,,,IgorGotesman,,,,"0,02587",Comédie,,,,,,,France,30.0,3.0,2016.0,2.0,3.0,102.0,237226.0,,15766.0,2016.0,Five,237226.0,6372000
5700,221621,HastaManana,AmirBenAbdelmoumen,AntoineGautron,SamuelBousbib,MehdiNebbou,OlivierVidal,SebastienMaggiani,,OlivierVidal,SebastienMaggiani,,,"0,01422",Comédie dramatique,,,,,,,France,30.0,7.0,2014.0,2.0,2.4,82.0,3238.0,,,,,,
5701,221635,Girafada,SalehBakri,MohammedBakri,RoschdyZem,AhmadBayatra,RaniMassalha,,,XavierNemo,RaniMassalha,,,"0,02610",Drame,,,,,,,France,23.0,4.0,2014.0,2.0,3.2,85.0,8092.0,94119.0,,,,,
5702,221636,LaCourdeBabel,,,,,JulieBertuccelli,,,,,,,"0,02610",Documentaire,,,,,,,France,12.0,3.0,2014.0,2.0,4.2,89.0,60052.0,6407.0,,,,,
5703,221654,Boomerang,LaurentLafitte,MelanieLaurent,AudreyDana,WladimirYordanoff,FrancoisFavrat,,,FrancoisFavrat,TatianaDeRosnay,EmmanuelCourcol,,"0,02266",Drame,,,,,,,France,23.0,9.0,2015.0,2.0,3.6,101.0,130241.0,26.0,,,,,
5704,221657,Biette,FrancoiseLebrun,PascalCervo,MathieuAmalric,DenisLavant,PierreLeon,,,,,,,"0,00896",Documentaire,,,,,,,France,26.0,6.0,2013.0,2.0,4.5,108.0,72.0,,,,,,
5705,221658,StarredUp,JackO&#039;Connell,RupertFriend,BenMendelsohn,DavidAjala,DavidMackenzie,,,JonathanAsser,,,,"0,01795",Drame,,,,,,,Grande-Bretagne,4.0,6.0,2014.0,2.0,3.8,105.0,35412.0,54915.0,,,,,
