,real,freq
390,Activideo,"0,003067485"
391,Adalios,"0,003076923"
392,ADR Distribution,"0,00308642"
393,Advanced Entertainment,"0,003095975"
394,Afrique Films,"0,00310559"
395,Agat Films & Cie,"0,003115265"
396,Aim,"0,003125"
397,Alba Films ,"0,003134796"
398,Aldudarrak Bideo,"0,003144654"
399,Alexart Films,"0,003154574"
400,Aloha Distribution,"0,003164557"
401,Alsace Cinémas Distribution,"0,003174603"
402,Altra Banda Films,"0,003184713"
403,Amazon Prime Video,"0,003194888"
404,Amétis ,"0,003205128"
405,AMV Production,"0,003215434"
406,Andana Films,"0,003225806"
407,Apatom,"0,003236246"
408,Araprod,"0,003246753"
409,Arcadès,"0,003257329"
410,Arsenal Productions,"0,003267974"
411,Art House ,"0,003278689"
412,Artmell ,"0,003289474"
413,Arwestud Films,"0,00330033"
414,ASC Distribution ,"0,003311258"
415,Atlantis,"0,003322259"
416,Autour de minuit,"0,003333333"
417,Autour d'un film productions,"0,003344482"
418,Avril,"0,003355705"
419,Ayngaran-International,"0,003367003"
420,Babaika,"0,003378378"
421,Babel Productions,"0,003389831"
422,Bac Films ,"0,003401361"
423,Backup Films,"0,003412969"
424,Baiacedez Films,"0,003424658"
425,Bas Canal,"0,003436426"
426,Beabia Films,"0,003448276"
427,Beez Entertainment,"0,003460208"
428,Bel Air Media,"0,003472222"
429,Betel films,"0,003484321"
430,Big Bang Films,"0,003496503"
431,Blue Monday Productions,"0,003508772"
432,Blue Moon Distribution,"0,003521127"
433,Blue Movies Productions,"0,003533569"
434,Bodega Films ,"0,003546099"
435,bonne séance,"0,003558719"
436,BR Films International,"0,003571429"
437,Bras de Fer Production et Distribution,"0,003584229"
438,Buena Vista Pictures,"0,003597122"
439,Burgos Films,"0,003610108"
440,C Ton Film Production,"0,003623188"
441,Caboche,"0,003636364"
442,Cargo Films,"0,003649635"
443,Cartel Distrib,"0,003663004"
444,Cassia's productions,"0,003676471"
445,CFA programmation et distribution,"0,003690037"
446,Champs libres,"0,003703704"
447,Chrysalis Films ,"0,003717472"
448,Ciel de Paris Productions,"0,003731343"
449,Ciné Croisière,"0,003745318"
450,Ciné Sud Promotion,"0,003759398"
451,Cinédia Films,"0,003773585"
452,Cinédoc Film,"0,003787879"
453,Cinégénie,"0,003802281"
454,Cinéma l'Atalante,"0,003816794"
455,Cinémadefacto,"0,003831418"
456,Cinéode Distribution,"0,003846154"
457,Cinessonne,"0,003861004"
458,Ciné-Sud Promotion,"0,003875969"
459,Cinétévé,"0,003891051"
460,Clairsud,"0,00390625"
461,Clearvision Distribution,"0,003921569"
462,Collectif 360° et même plus,"0,003937008"
463,Collectif BKE,"0,003952569"
464,Collection Opus Distribution,"0,003968254"
465,Coloured Plates Production,"0,003984064"
466,Commune Image Media,"0,004"
467,Compagnie des Phares & Balises,"0,004016064"
468,Condor ,"0,004032258"
469,Condor Distribution ,"0,004048583"
470,Contre-Courants ,"0,004065041"
471,Côté Diffusion,"0,004081633"
472,Côté Distribution,"0,004098361"
473,C-P Productions,"0,004115226"
474,Dahu Production,"0,004132231"
475,Dans le sens de la vie,"0,004149378"
476,Deal,"0,004166667"
477,Des étoiles dans les yeux,"0,0041841"
478,Des Films Nuit et Jour,"0,004201681"
479,Diversité Films,"0,004219409"
480,Dix-Huit jours,"0,004237288"
481,Doc en Stock,"0,004255319"
482,Docks 66 ,"0,004273504"
483,Documentaire sur Grand Ecran,"0,004291845"
484,Donoma Guerilla,"0,004310345"
485,Dopamyne films,"0,004329004"
486,Doriane Films,"0,004347826"
487,Dracar Productions,"0,004366812"
488,Dublin Films,"0,004385965"
489,Dyssomnia Films,"0,004405286"
490,Eden Films,"0,004424779"
491,EIRL Ana Dumitrescu,"0,004444444"
492,Eivissa Productions,"0,004464286"
493,Electron Libre Compagnie,"0,004484305"
494,Elévation-Prod,"0,004504505"
495,Elkin Communication,"0,004524887"
496,Elytel Film Distribution,"0,004545455"
497,Epicentre Films ,"0,00456621"
498,ESC Editions,"0,004587156"
499,ESPERANZA Productions et MISE EN LUMIERE,"0,004608295"
500,EuropaCorp,"0,00462963"
501,Extérieur Jour,"0,004651163"
502,Far Ouest Production,"0,004672897"
503,Film Addict,"0,004694836"
504,Film Indépendant,"0,004716981"
505,Filmarium distribution ,"0,004739336"
506,Films Connection,"0,004761905"
507,First Look Pictures Releasing,"0,004784689"
508,Focus Features,"0,004807692"
509,Fokus 21,"0,004830918"
510,Fox Pathé Europa,"0,004854369"
511,France 3,"0,004878049"
512,France Télévision Distribution,"0,004901961"
513,Freeatlast Films,"0,004926108"
514,French distribution,"0,004950495"
515,Frenetic Film AG,"0,004975124"
516,Galactica Distribution,"0,005"
517,Goodfellas,"0,005025126"
518,Happiness Distribution ,"0,005050505"
519,Helo distribution,"0,005076142"
520,Hérisson Rebelle Production,"0,005102041"
521,Hippocampe Productions,"0,005128205"
522,HPG Production,"0,005154639"
523,Human Doors Films,"0,005181347"
524,I Pulcini Prod,"0,005208333"
525,IMAGE'EST,"0,005235602"
526,Imagie,"0,005263158"
527,Injam Production,"0,005291005"
528,Iskra & L'Yeux Ouverts,"0,005319149"
529,Jocelinéaste,"0,005347594"
530,Jour 2 Fête ,"0,005376344"
531,Jour2fête ,"0,005405405"
532,Kaléo Films,"0,005434783"
533,KG Productions,"0,005464481"
534,Kinterfin,"0,005494505"
535,KL Films,"0,005524862"
536,KMBO ,"0,005555556"
537,Kréol Productions,"0,005586592"
538,La Belle Company ,"0,005617978"
539,La Butte Distribution,"0,005649718"
540,La Chambre Noire,"0,005681818"
541,La Fabrica Nocturna Cinéma,"0,005714286"
542,La Fabrique,"0,005747126"
543,La Femme Endormie,"0,005780347"
544,La Ferme Productions,"0,005813953"
545,La Générale de Distribution,"0,005847953"
546,La Luna Productions,"0,005882353"
547,La Mer à Boire Productions,"0,00591716"
548,La Pluie Productions,"0,005952381"
549,La Ruelle Films,"0,005988024"
550,La Sans Sou Cie,"0,006024096"
551,L'âge d'or,"0,006060606"
552,Lam Produxion,"0,006097561"
553,Lamplighter Films,"0,006134969"
554,Le Carnet Rouge,"0,00617284"
555,Le Chien qui Aboie,"0,00621118"
556,Le Petit Bureau,"0,00625"
557,Le Petit Remorqueur,"0,006289308"
558,Leelame distribution,"0,006329114"
559,Légende Distribution ,"0,006369427"
560,L'Entrepôt,"0,006410256"
561,L'Epée de Bois,"0,006451613"
562,Les Acacias ,"0,006493506"
563,Les Ecrans de Paris,"0,006535948"
564,Les Enragés,"0,006578947"
565,Les Films 13 ,"0,006622517"
566,Les Films Aramis,"0,006666667"
567,Les Films de Chaillot,"0,006711409"
568,Les Films de la Haute-Vallée,"0,006756757"
569,Les Films de l'Anse,"0,006802721"
570,Les Films de l'Astre,"0,006849315"
571,Les Films de l'Autre,"0,006896552"
572,Les Films d'Espigoule,"0,006944444"
573,Les Films du Grain de Sable,"0,006993007"
574,Les Films du jour,"0,007042254"
575,Les Films du Phoenix,"0,007092199"
576,Les Films du Raphia,"0,007142857"
577,Les Films du Requin,"0,007194245"
578,Les Films du Rhizome,"0,007246377"
579,Les Films du Tamarin,"0,00729927"
580,Les Films du Viaduc,"0,007352941"
581,Les Films du Voilier,"0,007407407"
582,Les films qui causent,"0,007462687"
583,Les Films Salamandre,"0,007518797"
584,Les Films Sauvages,"0,007575758"
585,Les Productions Aléatoires,"0,007633588"
586,Les Productions Balthazar ,"0,007692308"
587,Les Productions de la Main Verte,"0,007751938"
588,Les productions du Désert ,"0,0078125"
589,Libre Cours,"0,007874016"
590,Little Stone Distribution,"0,007936508"
591,Looker Films,"0,008"
592,Love Streams Productions,"0,008064516"
593,Lug Cinema,"0,008130081"
594,Luna Park Films,"0,008196721"
595,Lutine & Cie,"0,008264463"
596,M2 Distribution,"0,008333333"
597,Mad Films ,"0,008403361"
598,Madeleine films,"0,008474576"
599,Makadam Distribution,"0,008547009"
600,Mangoustine,"0,00862069"
601,Marc Guidoni ,"0,008695652"
602,Marteau Films Production,"0,00877193"
603,Matsylie Productions,"0,008849558"
604,Maybe Movies,"0,008928571"
605,Medula Films,"0,009009009"
606,Mémère Productions,"0,009090909"
607,Meret Films,"0,009174312"
608,Merlin Films,"0,009259259"
609,Mitiki,"0,009345794"
610,MLA FILMS,"0,009433962"
611,Mona Films,"0,00952381"
612,Moonriver Entertainment,"0,009615385"
613,Morgane Productions,"0,009708738"
614,Mosaïque Films,"0,009803922"
615,Moviemento Films,"0,00990099"
616,Myriapodus Films,"0,01"
617,Neffa Films,"0,01010101"
618,Nema777,"0,010204082"
619,New Story District,"0,010309278"
620,Night Lights Productions,"0,010416667"
621,NUMEVENT,"0,010526316"
622,Nyotadis Distribution,"0,010638298"
623,Odelion,"0,010752688"
624,Oliver Dream Productions,"0,010869565"
625,Ombres production,"0,010989011"
626,Orawa Prod,"0,011111111"
627,Oreo,"0,011235955"
628,Origine Films,"0,011363636"
629,Orsans Distribution,"0,011494253"
630,OSPROD Studios,"0,011627907"
631,Ouranos Films,"0,011764706"
632,Oval Films Productions,"0,011904762"
633,Owls Agency,"0,012048193"
634,Pagnotta Films,"0,012195122"
635,Panorama Films,"0,012345679"
636,Paradis Films ,"0,0125"
637,Paraiso ,"0,012658228"
638,Paraiso Production Diffusion,"0,012820513"
639,Paramount Classics,"0,012987013"
640,Paramount Home Entertainment,"0,013157895"
641,Park Circus France,"0,013333333"
642,Perspectives Nomades,"0,013513514"
643,Pickup,"0,01369863"
644,Pickup ,"0,013888889"
645,Piece of Magic Entertainment France,"0,014084507"
646,Pirates Distribution,"0,014285714"
647,Plein Cadres,"0,014492754"
648,PolyGram Film Distribution,"0,014705882"
649,Potemkine Editions,"0,014925373"
650,Pour Voir,"0,015151515"
651,Pourquoi Pas Productions,"0,015384615"
652,Première Nouvelle,"0,015625"
653,Prima Luce,"0,015873016"
654,Primaluce Distribution,"0,016129032"
655,Productions 9,"0,016393443"
656,Projectile,"0,016666667"
657,Providence Films,"0,016949153"
658,Quark Productions,"0,017241379"
659,Quartier Mozart Films,"0,01754386"
660,Quinta Communications,"0,017857143"
661,Reaficta Films,"0,018181818"
662,Recidive,"0,018518519"
663,Re-Distribution,"0,018867925"
664,Revolt Cinema,"0,019230769"
665,Richard Wagner Productions,"0,019607843"
666,Rouge Productions,"0,02"
667,Rouge Productions ,"0,020408163"
668,RV Distribution,"0,020833333"
669,SaNoSi,"0,021276596"
670,SBR PROD,"0,02173913"
671,Sciapode,"0,022222222"
672,Séance Tenante,"0,022727273"
673,Sedna Films,"0,023255814"
674,Seven 7,"0,023809524"
675,Silkroad Production,"0,024390244"
676,Sinociné,"0,025"
677,Smelly Dog Films,"0,025641026"
678,Sonata Films,"0,026315789"
679,Spider World Cinema,"0,027027027"
680,Star Production,"0,027777778"
681,Sterntaucher Filmproduktion,"0,028571429"
682,Steward,"0,029411765"
683,Strutt Films,"0,03030303"
684,Studio Canal,"0,03125"
685,Studio Galande,"0,032258065"
686,Sunday Films,"0,033333333"
687,Tajine Studio,"0,034482759"
688,Terra Incognita,"0,035714286"
689,Testukine ,"0,037037037"
690,The Dark,"0,038461538"
691,The Open Reel,"0,04"
692,Théâtre du Temple,"0,041666667"
693,Thunder Films International,"0,043478261"
694,Tous Seuls Production,"0,045454545"
695,Trésor Cinéma ,"0,047619048"
696,Twentieth Century Fox,"0,05"
697,Universal Pictures,"0,052631579"
698,Unlimited,"0,055555556"
699,Unzéro Films,"0,058823529"
700,Urban Distribution ,"0,0625"
701,Vent d'Ouest Distribution,"0,066666667"
702,Vent d'Ouest Production,"0,071428571"
703,Véo distribution,"0,076923077"
704,Vie en Conscience,"0,083333333"
705,VIGO Films,"0,090909091"
706,VO2MAX,"0,1"
707,VP Distribution,"0,111111111"
708,Vues du Québec distribution,"0,125"
709,Wajnbrosse Productions,"0,142857143"
710,Warner Bros.,"0,166666667"
711,White Muscle Studio,"0,2"
712,Wild Bunch ,"0,25"
713,Windy Production,"0,333333333"
714,Yaraa Distribution,"0,5"
715,Zorba Production,1
